,0,CS_v1,CS_v2,CS_v3,PW_v1,PW_v2,PW_v3
1486,Mixer,Mvxzr,Mrxjr,Mbxpr,Moxir,Maxur,Moxor
1487,Bush,Blsh,Bvsh,Bvsh,Bosh,Besh,Besh
1488,urig,crng,frkg,rrfg,urog,arag,erig
1489,Neros,Nprns,Nvrds,Nnrhs,Narus,Neris,Nuros
1490,fehle,fjhlz,fdhlq,fyhlq,fihlü,fähla,fahlu
1491,Hesse,Hzssn,Hfssd,Hpssq,Hassi,Hussi,Husse
1492,Weist,Wnrst,Wbcst,Wjrst,Wuust,Wuost,Woust
1493,Krans,Krhns,Krvns,Krmns,Krins,Krins,Krens
1494,Knapp,Kngpp,Knbpp,Kndpp,Knipp,Knopp,Knipp
1495,Rowdy,Rywdy,Rxwdy,Rvwdy,Riwdy,Rewdy,Ruwdy
1496,Kamen,Kwmxn,Kkmpn,Kbmwn,Kimen,Komon,Kömun
1497,freue,frzgs,frnqw,frrxm,freao,fröui,fruoö
1498,Graf,Grlf,Grxf,Grcf,Grof,Gref,Gref
1499,Komm,Kcmm,Kkmm,Kqmm,Kümm,Kümm,Kumm
1500,Vati,Vltb,Vttg,Vqtw,Vota,Votä,Vite
1501,Galle,Gkllt,Gvlls,Gtllf,Gulla,Gallu,Golli
1502,Betet,Bjtzt,Bjtwt,Bbtyt,Butit,Botut,Bötot
1503,Zieh,Zsmh,Zpmh,Zqsh,Zäeh,Zeah,Zuoh
1504,quasi,qrysc,qbpsq,qtxsj,qoose,qäasa,qöüsi
1505,Abgas,Qbgzs,Lbgls,Lbgss,Öbges,Ubgis,Übges
1506,Inder,Wndvr,Lndxr,Lndnr,Ändir,Endor,Ender
1507,Triff,Trdff,Trkff,Trlff,Troff,Tröff,Träff
1508,Kehre,Kjhrp,Kshrm,Kphrc,Kahru,Kihru,Kuhro
1509,fingt,fgngt,fdngt,fzngt,füngt,fongt,fungt
1510,Kies,Kzvs,Khzs,Kybs,Kaus,Keüs,Käas
1511,Olaf,Rlsf,Bllf,Wlkf,Älof,Uluf,Ilöf
1512,Rafft,Rkfft,Rlfft,Ryfft,Röfft,Räfft,Rofft
1513,Zink,Zbnk,Zmnk,Zbnk,Zänk,Zenk,Zunk
1514,zuckt,zsckt,zpckt,zcckt,zickt,zückt,zackt
1515,Min,Mhn,Msn,Mgn,Mon,Mon,Mön
1516,wurmt,wlrmt,wlrmt,wqrmt,wirmt,wirmt,wormt
1517,sende,snndf,sjndw,stndt,sindo,sendo,sondu
1518,opfer,fpfhr,wpfqr,rpftr,opfir,ipfar,ipfer
1519,Hat,Hft,Hkt,Hlt,Höt,Hot,Hüt
1520,Stieg,Sttzg,Stqsg,Stycg,Stoag,Staag,Stöug
1521,Pools,Pxtls,Pvwls,Psbls,Poäls,Puüls,Paals
1522,Zahl,Zlhl,Zvhl,Znhl,Zuhl,Zihl,Zuhl
1523,galt,gmlt,gklt,gllt,gält,gult,gult
1524,formt,fgrmt,fwrmt,fmrmt,furmt,furmt,furmt
1525,Spe,Spc,Spp,Spr,Spa,Spa,Spä
1526,klar,kldr,klgr,klwr,kler,klor,klür
1527,denkt,dtnkt,dnnkt,dmnkt,donkt,donkt,dönkt
1528,Gehen,Grhfn,Gbhsn,Gyhkn,Gihin,Gohon,Gohon
1529,engl,pngl,cngl,tngl,ongl,ungl,ongl
1530,woher,wwhlr,wfhgr,wmhqr,wöhir,wehar,wuhör
1531,Reden,Rfdln,Rpdxn,Rtdtn,Ridon,Roden,Rädin
1532,Tinte,Tlntc,Tlntm,Tkntc,Tontä,Tinti,Tunte
1533,durch,dtrch,dprch,dvrch,dörch,darch,darch
1534,Kette,Kvttt,Kjttj,Kctty,Kotta,Kattä,Kitti
1535,zusah,zmsqh,zjssh,zysrh,züsoh,zusuh,zusäh
1536,melke,mblkj,mllkm,mnlkr,malka,malke,milku
1537,sich,sqch,shch,sych,söch,sach,sech
1538,lauen,lfznn,lhbhn,lkrkn,laöen,liüän,löuan
1539,Motiv,Mhtbv,Mlttv,Mztpv,Mativ,Mitüv,Mituv
1540,Lud,Lpd,Lwd,Lgd,Led,Lod,Lod
1541,Wink,Wynk,Wwnk,Wlnk,Wank,Wenk,Wonk
1542,niet,nsdt,npgt,nxjt,noot,neet,neet
1543,Wirt,Wcrt,Wprt,Wlrt,Wurt,Würt,Würt
1544,Gehe,Gkhd,Grhs,Gchn,Gohä,Geho,Guhe
1545,pumpe,pxmpt,ptmpl,phmpg,pempu,pimpö,pumpi
1546,passe,pdssn,pwssh,pqssz,pissa,püssu,pessa
1547,Los,Lcs,Lms,Lxs,Lis,Lis,Lus
1548,platt,plgtt,plttt,plntt,plutt,plitt,plett
1549,Gable,Gpblr,Glbls,Gxbly,Gabli,Geblu,Goblu
1550,Halbe,Hhlby,Hqlbv,Hglbx,Helba,Halba,Helbo
1551,Totos,Tqtrs,Tmtns,Tptds,Tutos,Totis,Tutas
1552,Seim,Swmm,Symm,Smcm,Soem,Saam,Saöm
1553,Feier,Ffjcr,Fnzgr,Fnxqr,Faoor,Fueer,Fäeur
1554,Heule,Hnxlg,Hxflg,Hwtlc,Häelu,Hoeli,Haili
1555,elft,xlft,rlft,hlft,ilft,alft,alft
1556,Flog,Fldg,Fldg,Flng,Flig,Fläg,Flag
1557,Brust,Brkst,Bryst,Brlst,Brost,Bröst,Brist
1558,Frohe,Frchd,Frfhl,Frwhp,Fraho,Frahü,Fruho
1559,breit,brdnt,bryxt,brjpt,breut,bräit,bruit
1560,ocker,bckbr,tckkr,sckwr,ecker,ückor,eckor
1561,Jacht,Jgcht,Jscht,Jtcht,Jocht,Jucht,Jücht
1562,Rein,Rbvn,Rprn,Rxwn,Ruun,Röon,Röin
1563,nehmt,nghmt,nthmt,njhmt,nohmt,nuhmt,nihmt
1564,Isst,Ksst,Zsst,Hsst,Osst,Usst,Osst
1565,Kauer,Knyyr,Kgfdr,Kbxtr,Kaaer,Kaior,Kieir
1566,Seite,Sbktk,Slxtp,Shwtn,Söote,Siute,Sioto
1567,Hanoi,Hnndt,Hnnzg,Hgnrg,Honua,Henoa,Hanuü
1568,allem,gllxm,sllsm,pllnm,allom,ollum,illom
1569,Horch,Hfrch,Hbrch,Hbrch,Harch,Herch,Harch
1570,Weide,Wsndn,Wrddp,Wqhdt,Wiudi,Weadu,Wiode
1571,Bist,Bxst,Bfst,Bpst,Bust,Best,Best
1572,hause,hcssy,hrvsf,hlfsg,hiise,hoase,hüosi
1573,Kennt,Kjnnt,Kknnt,Kxnnt,Kunnt,Kinnt,Kunnt
1574,Mir,Mjr,Mpr,Mbr,Mur,Mör,Mer
1575,Kinn,Kmnn,Kwnn,Kvnn,Kunn,Konn,Kenn
1576,halte,hrltp,hxltm,hzltc,holti,holto,hilte
1577,jeher,jdhjr,jlhzr,jwhkr,joher,johur,jaher
1578,Gnom,Gnhm,Gnbm,Gnrm,Gnam,Gnöm,Gnim
1579,Jagte,Jvgtg,Jjgtb,Jtgtn,Jagtä,Jügtu,Jogta
1580,nun,nhn,nyn,nyn,non,nen,nän
1581,Rache,Rqchx,Rbchl,Rwchd,Rochi,Rocho,Rucha
1582,war,wfr,wdr,wtr,wor,wur,wor
1583,rennt,rcnnt,rxnnt,rynnt,rannt,runnt,runnt
1584,orten,mrtrn,trtxn,vrttn,ortin,ortun,irtön
1585,lange,lqngr,lkngv,lqngr,länga,linge,lingo
1586,Ginge,Gzngg,Gcngs,Gsngh,Gango,Gänga,Ganga
1587,Ehen,Thwn,Chqn,Bhpn,Ohin,Ohon,Ohän
1588,Sperr,Splrr,Splrr,Sprrr,Sporr,Spurr,Sparr
1589,rotes,rdtls,rttws,rxtws,rutus,rutis,ratus
1590,Wolle,Wbllf,Wqlll,Wkllq,Wulla,Wulla,Willö
1591,Ast,Cst,Sst,Hst,Ust,Ust,Est
1592,Wende,Wqndh,Wtndb,Wgndh,Wündi,Windu,Wande
1593,Fern,Fgrn,Fkrn,Fkrn,Firn,Forn,Färn
1594,Fragt,Frrgt,Frvgt,Frcgt,Fregt,Fregt,Frugt
1595,jetzt,jktzt,jstzt,jstzt,jitzt,jatzt,jötzt
1596,Zirka,Zgrkb,Znrks,Zyrkk,Zorke,Zorko,Zärkö
1597,rollt,rzllt,rpllt,rwllt,rullt,rellt,rillt
1598,Kerls,Klrls,Kqrls,Kyrls,Kärls,Korls,Kurls
1599,Kuh,Kvh,Kdh,Kgh,Kah,Kah,Keh
1600,Sasst,Slsst,Smsst,Sysst,Sisst,Susst,Sösst
1601,Waden,Wwdrn,Wydzn,Wgdgn,Widün,Wedun,Wüdan
1602,Asiat,Zsklt,Ksbzt,Hskkt,Ösäit,Esiot,Asoät
1603,faxt,fpxt,fsxt,fsxt,füxt,foxt,fext
1604,Quer,Qqzr,Qtrr,Qmnr,Qaur,Qier,Qeer
1605,Tod,Tyd,Tvd,Tgd,Tud,Tad,Tud
1606,Anbau,Gnbmf,Cnbcp,Jnbcq,Enbui,Onbee,Anbia
1607,Sohn,Shhn,Sxhn,Schn,Sihn,Sähn,Sähn
1608,Parkt,Pzrkt,Pvrkt,Pgrkt,Perkt,Purkt,Perkt
1609,goss,gzss,gvss,gvss,gäss,gass,göss
1610,Vogt,Vzgt,Vcgt,Vbgt,Vugt,Vigt,Vegt
1611,heizt,hslzt,hrczt,hfjzt,höuzt,hiuzt,heezt
1612,Zeta,Zttp,Zntp,Zhtx,Zätä,Zäti,Zäta
1613,ohne,yhnh,hhny,hhnx,ihnä,ihno,ahno
1614,Lenz,Lynz,Lhnz,Lpnz,Lonz,Lonz,Lonz
1615,Boeen,Bwlqn,Bdhvn,Bzcmn,Büuan,Böoän,Büoän
1616,Felix,Fzlnx,Fplfx,Fplhx,Felox,Fulex,Filix
1617,wert,wzrt,wbrt,wkrt,wärt,wort,wort
1618,tippt,tmppt,tnppt,ttppt,teppt,tuppt,tuppt
1619,Witze,Wntzx,Whtzl,Wxtzk,Watzö,Wutze,Wotzö
1620,Und,Bnd,Jnd,Ynd,Ond,End,End
1621,logen,lwghn,lsgjn,lfgjn,lugon,lagun,legun
1622,Klebe,Kldbm,Klvbr,Klrby,Klobü,Klebi,Kläbo
1623,ziele,zmxlk,zzpld,zdllr,zuali,zoela,zuäle
1624,Engt,Qngt,Qngt,Dngt,Ingt,Angt,Ongt
1625,Sonst,Synst,Sgnst,Sxnst,Sinst,Sinst,Senst
1626,laut,lhzt,lkst,lbht,leüt,loat,läut
1627,tagt,tbgt,tpgt,tzgt,togt,tegt,tegt
1628,auch,gvch,spch,rcch,uach,öich,üich
1629,Keile,Kgllm,Ksplq,Kdbls,Koela,Kaole,Kuali
1630,Klick,Klvck,Klgck,Kllck,Kleck,Klock,Klack
1631,Spie,Spmv,Spsf,Spgv,Spei,Spüe,Spue
1632,Radon,Rmdgn,Rsdjn,Rldln,Rüden,Ridon,Redän
1633,Reit,Rdft,Rgtt,Rdbt,Ruet,Reot,Räot
1634,sinnt,svnnt,sqnnt,sbnnt,sennt,sönnt,sennt
1635,Letzt,Lntzt,Lwtzt,Lstzt,Litzt,Latzt,Litzt
1636,Augen,Tdgpn,Pdgjn,Twgrn,Öagön,Aegan,Oogun
1637,Hier,Hndr,Hfqr,Hgdr,Hüir,Hiär,Hiar
1638,Karte,Kvrty,Ktrtq,Knrtf,Kurti,Kurto,Kürti
1639,toter,twtbr,tktlr,tsthr,titor,teter,tötar
1640,Kind,Kbnd,Kjnd,Kmnd,Könd,Kand,Kend
1641,ganze,glnzm,gynzs,gqnzg,ginza,ginza,ganzi
1642,Mache,Mjchr,Mfchg,Mgchc,Machu,Mocho,Mächu
1643,Geber,Gfbmr,Gdbjr,Gjbrr,Gaber,Gebör,Gabor
1644,Diva,Dpvk,Dlvw,Dqvz,Dövö,Davu,Dävo
1645,focht,fxcht,fbcht,fvcht,fecht,ficht,fecht
1646,neckt,ndckt,ntckt,nmckt,nöckt,nockt,nöckt
1647,salze,snlzj,shlzz,smlzv,silza,silzu,selzi
1648,sengt,syngt,slngt,snngt,söngt,sungt,süngt
1649,Esel,Wsdl,Tshl,Ssll,Osäl,Osel,Asol
1650,Ding,Dpng,Dyng,Dwng,Dang,Deng,Deng
1651,Frag,Frtg,Frhg,Frtg,Fräg,Frog,Frog
1652,huren,hmrwn,hjryn,hfrvn,hörin,hörin,häran
1653,Telex,Tflmx,Tyljx,Thltx,Talax,Tülax,Talux
1654,Demut,Dmmst,Dzmft,Dhmjt,Damut,Dimüt,Demot
1655,hupen,hlpln,hvpvn,hlphn,hipan,hapun,hepin
1656,trieb,trknb,trrhb,trbrb,troab,trüub,treob
1657,Graue,Gryxt,Grvqf,Grwsb,Grueu,Grüoi,Greia
1658,Hallo,Hvllw,Htllm,Hgllk,Hollö,Hilla,Hallu
1659,rare,ryrq,rrrt,rzrw,rorä,räru,reri
1660,Sorge,Snrgv,Sdrgf,Sdrgj,Surgu,Sorga,Sergo
1661,Reibt,Rwlbt,Rzrbt,Rbtbt,Riibt,Roobt,Roibt
1662,Riss,Rcss,Rcss,Rdss,Räss,Rass,Rass
1663,reift,rzdft,rzlft,rnsft,reeft,raüft,ruoft
1664,knips,knnps,knlps,knwps,knaps,knaps,knops
1665,Gurt,Gcrt,Gyrt,Gwrt,Gart,Gört,Gert
1666,Sog,Stg,Slg,Sfg,Sug,Süg,Sig
1667,Fahrt,Fqhrt,Frhrt,Frhrt,Führt,Fehrt,Fehrt
1668,Frei,Frfq,Frhs,Frtn,Frua,Friu,Fruü
1669,Rolf,Rslf,Rxlf,Rflf,Rulf,Relf,Relf
1670,enges,pngls,yngjs,fngqs,inges,engis,ingas
1671,Maos,Mzks,Mtss,Mxys,Miis,Moes,Mias
1672,Wagon,Wpgrn,Whgzn,Wbgtn,Wigin,Wogon,Wugön
1673,Donau,Dtnqf,Dfnhl,Dhnfj,Danäo,Dunei,Donia
1674,Edith,Xdzth,Ldqth,Cdgth,Odeth,Oduth,Idith
1675,Vetos,Vdtqs,Vftks,Vvtls,Votas,Vutis,Votos
1676,Rondo,Rpndn,Rdndt,Rpndz,Rondi,Rendu,Rondu
1677,lenkt,lhnkt,lsnkt,lhnkt,lankt,lonkt,linkt
1678,Dirks,Dcrks,Dtrks,Dqrks,Darks,Dörks,Durks
1679,Kunde,Khndd,Klndk,Kdndr,Kondi,Kendo,Kendi
1680,Erbat,Rrbwt,Lrblt,Mrbkt,Örbot,Orbet,Erbut
1681,van,vpn,vbn,vjn,ven,vün,vin
1682,Backt,Bvckt,Bqckt,Bgckt,Buckt,Bockt,Bockt
1683,hoffe,hyffd,hhffp,hqffn,höffu,haffe,hiffö
1684,Tikis,Tmkfs,Tqkrs,Tvkxs,Tekas,Takus,Takas
1685,Rotes,Rntxs,Rxtqs,Rwths,Retes,Retos,Ratas
1686,Trunk,Trmnk,Trhnk,Trsnk,Tronk,Trenk,Tränk
1687,Tankt,Thnkt,Tpnkt,Thnkt,Tenkt,Tonkt,Tonkt
1688,Dient,Dfbnt,Ddnnt,Dksnt,Doont,Daent,Deent
1689,Pakte,Pqktj,Pxktt,Phkth,Pokto,Päktü,Pekta
1690,packt,phckt,ptckt,pyckt,puckt,pückt,pockt
1691,Spots,Spmts,Spkts,Sptts,Spets,Spits,Spats
1692,Lyrik,Lyrfk,Lyrfk,Lyrsk,Lyrok,Lyrok,Lyrak
1693,Wippe,Wyppc,Wsppr,Wmppm,Wuppu,Wappo,Woppe
1694,Abort,Qbqrt,Mbvrt,Gbqrt,Eburt,Ubert,Ubirt
1695,Minen,Mgncn,Mznvn,Mqnzn,Mönun,Monan,Manin
1696,hure,hgrv,hxrj,hnry,härü,haro,höre
1697,Civil,Cjvsl,Crvjl,Cyvgl,Cival,Cavül,Civul
1698,Kork,Krrk,Kwrk,Krrk,Kürk,Kerk,Kärk
1699,Santa,Sxnts,Slntd,Slntc,Sante,Sunta,Sintu
1700,indes,tndss,mndvs,nndzs,ondas,undus,endäs
1701,jung,jsng,jcng,jbng,jeng,jüng,jing
1702,Matte,Mrttt,Mbttb,Mfttw,Mötte,Muttä,Mutte
1703,mute,mstp,mztr,mttx,müta,mita,mati
1704,putzt,pqtzt,pntzt,pmtzt,pötzt,pötzt,potzt
1705,Danke,Dhnkh,Dcnkt,Dpnkr,Dunke,Denki,Donku
1706,Zebra,Zybrm,Zpbrm,Ztbrh,Zabrö,Zibri,Zobru
1707,Folie,Fplpy,Fmlrf,Fslrn,Fulee,Felea,Filio
1708,Bea,Bkh,Bgy,Blh,Biu,Buo,Bui
1709,Pepsi,Pnpsm,Pqpsc,Ptpsj,Pepsa,Pupsa,Pöpse
1710,Buero,Bqxrw,Bqqrn,Bpzrb,Beuro,Bäure,Baore
1711,Osten,Sstfn,Qsttn,Vstpn,Istun,Ästin,Ostun
1712,Falte,Fjltz,Fslts,Fsltj,Falto,Fulto,Folto
1713,Nonne,Ndnnd,Njnnf,Nsnnq,Ninnu,Nannu,Nanne
1714,Miene,Mzhnj,Mdqnn,Msknj,Meonu,Muüna,Meina
1715,Pedro,Phdrg,Pkdrn,Pcdrj,Pödro,Padri,Pidri
1716,irren,mrrzn,crrfn,grrxn,arrun,orron,örren
1717,der,dpr,dpr,dfr,dor,dur,dur
1718,liebt,lhybt,lcnbt,ljybt,luobt,laebt,lüobt
1719,Ritt,Rktt,Rttt,Rdtt,Rett,Rutt,Rett
1720,Baus,Brrs,Bjjs,Byks,Boös,Bias,Bois
1721,Geste,Gvsth,Gpstr,Gvsth,Göstu,Guste,Gestu
1722,Ach,Xch,Pch,Fch,Och,Och,Ech
1723,Ralph,Rflph,Rjlph,Rllph,Rolph,Rälph,Rilph
1724,Seile,Scclt,Syrlf,Sbzls,Seulo,Siälä,Soölo
1725,Tuten,Tstbn,Tvttn,Tntqn,Toton,Tetan,Tuton
1726,aktiv,mktxv,lktmv,zkthv,aktuv,iktav,üktuv
1727,Fuers,Ffzrs,Frxrs,Fscrs,Feors,Föirs,Fairs
1728,Kults,Kvlts,Knlts,Kjlts,Kelts,Kilts,Költs
1729,Nutzt,Njtzt,Nztzt,Nptzt,Nötzt,Nitzt,Natzt
1730,Fluge,Flxgw,Fllgc,Flvgg,Flegi,Flegu,Fligö
1731,Erich,Crpch,Qrnch,Brjch,Uruch,Erech,Iruch
1732,Belag,Bbldg,Bxlvg,Bhllg,Bolig,Bolag,Bilig
1733,Zions,Zfzns,Zqvns,Zjdns,Zuäns,Zaons,Zians
1734,Oft,Wft,Yft,Qft,Uft,Uft,Uft
1735,Satin,Srthn,Sltjn,Sntpn,Setin,Setun,Sitin
1736,Sadat,Sqdrt,Sxdzt,Sxdyt,Sodit,Sodut,Södot
1737,Gongs,Gyngs,Gmngs,Gwngs,Gengs,Gings,Gings
1738,Bachs,Bxchs,Bfchs,Bhchs,Böchs,Bochs,Bochs
1739,Gifts,Gcfts,Gdfts,Gpfts,Gafts,Gufts,Gufts
1740,Leiht,Lqnht,Ljkht,Ldmht,Laeht,Lüoht,Löoht
1741,eisig,yfscg,jnstg,pxsxg,iasog,oosug,iäsag
1742,Drauf,Drrkf,Drksf,Drjzf,Druef,Dreof,Drief
1743,Rehen,Rchcn,Rdhdn,Rghsn,Rahin,Rihen,Ruhun
1744,singt,skngt,sxngt,svngt,sungt,sängt,süngt
1745,zaehl,zvshl,zwrhl,zcjhl,zeähl,zuihl,zuihl
1746,klug,klqg,klbg,klwg,klig,kleg,klig
1747,Safe,Syfb,Svfb,Sgfx,Sefe,Sufü,Süfu
1748,Enger,Pngfr,Fngqr,Yngpr,Onger,Ungor,Ingor
1749,kurvt,khrvt,ksrvt,ksrvt,kirvt,kervt,kürvt
1750,Zutat,Zxtst,Zrtyt,Zltvt,Zetot,Zutot,Zütat
1751,edlem,gdlqm,hdlrm,ddlkm,udlom,odlum,adlum
1752,Jota,Jbtz,Jmtg,Jjty,Jutu,Jetö,Jäti
1753,Krieg,Krprg,Krmhg,Krshg,Krüeg,Kräeg,Kroig
1754,hallo,hcllr,hglls,hvllp,hella,hüllü,hellu
1755,rafft,rdfft,rgfft,rlfft,rofft,rifft,rofft
1756,Wesen,Wwsbn,Wmsmn,Wlsyn,Wosun,Wusun,Wisun
1757,Idols,Tdsls,Tdbls,Mdrls,Eduls,Odels,Odöls
1758,graue,grfdq,grpcl,grmhq,gruoe,gruiä,gräui
1759,Gold,Ggld,Gyld,Gkld,Güld,Guld,Göld
1760,Trafo,Trqff,Trkfd,Trsfy,Trifu,Trüfo,Trifu
1761,hobst,hzbst,hwbst,hmbst,hibst,hibst,hubst
1762,Laken,Lqkzn,Ltkgn,Lckwn,Lakän,Lakon,Likan
1763,Tara,Tyrr,Twrx,Tsrt,Tira,Taro,Tera
1764,Ruine,Rgsnw,Rvmnf,Rdcnx,Ruinu,Reino,Rüöno
1765,Chrom,Chrjm,Chrhm,Chrmm,Chrum,Chram,Chrem
1766,blast,blkst,bldst,blxst,blest,blist,blust
1767,Oels,Ljls,Sgls,Zvls,Uuls,Eels,Iäls
1768,mault,mmqlt,mzwlt,mgwlt,mailt,muilt,maolt
1769,Rare,Rzrp,Ryrn,Rnrr,Riri,Rura,Rora
1770,spukt,spfkt,sptkt,spzkt,spokt,spakt,spokt
1771,Array,Rrrby,Vrrry,Wrrty,Arroy,Erröy,Irriy
1772,Edgar,Xdgnr,Jdggr,Gdgfr,Ädgir,Edgir,Odgur
1773,Toete,Twstr,Tmxth,Twftj,Toeti,Tuata,Tuute
1774,Keks,Kfks,Kkks,Kmks,Kaks,Kuks,Köks
1775,wieso,wwtsx,wrmsj,wrtsr,wuasi,woise,waasü
1776,boete,bnhtd,bvttc,byltv,boötu,buiti,beuti
1777,Bryan,Bryrn,Bryfn,Brycn,Bryon,Bryen,Bryun
1778,Lockt,Lkckt,Ltckt,Lqckt,Luckt,Lickt,Luckt
1779,Fromm,Frtmm,Frjmm,Frcmm,Fremm,Fremm,Frömm
1780,seien,snhcn,shktn,szphn,suaen,siion,soöin
1781,boeig,bzqfg,bmygg,bjhcg,baeag,beeag,baaig
1782,bebt,bwbt,bbbt,bdbt,bibt,bibt,bäbt
1783,Hause,Hslsf,Hrmsv,Htcsw,Hüasa,Hoisi,Haoso
1784,Links,Ldnks,Lsnks,Ldnks,Lünks,Lonks,Lenks
1785,Manie,Mfnzc,Mrngm,Mlnby,Monaa,Menei,Menui
1786,hinke,hznkt,hnnkz,hynkb,hanka,hanki,hunke
1787,wogt,wpgt,wjgt,wjgt,wigt,wegt,wugt
1788,kaut,khbt,ktvt,kmnt,kuöt,koat,käet
1789,Horde,Hbrdz,Hdrdj,Hxrdj,Hordu,Hordu,Hurdu
1790,Wacht,Wtcht,Wccht,Wgcht,Wocht,Wecht,Wocht
1791,treu,trkj,trxk,trmg,trii,traü,trai
1792,guten,gdtsn,ggtkn,gltsn,gotan,gotun,geten
1793,Sudan,Syddn,Sxdjn,Sydcn,Sodun,Sidan,Sidin
1794,tatst,tmtst,tmtst,tztst,totst,tetst,titst
1795,kaute,kngtm,kgstj,knvtx,kaöti,keutu,kautü
1796,ruhen,rdhzn,rwhsn,rnhwn,rähun,rohan,rahon
1797,Kaufe,Kyffl,Krpfx,Ksxfp,Kuüfo,Kuafi,Koufi
1798,Damms,Dmmms,Dlmms,Dmmms,Dumms,Dumms,Demms
1799,solle,spllz,sclll,sqllf,sello,salla,sellu
1800,Rupfe,Rypfg,Rwpfl,Rvpfj,Repfi,Rapfo,Ripfa
1801,Gut,Gnt,Gdt,Gzt,Got,Got,Got
1802,Kufen,Kqfgn,Kdfsn,Kzfjn,Kofun,Kufin,Kifon
1803,Haydn,Hwydn,Htydn,Hsydn,Hoydn,Huydn,Hiydn
1804,Logik,Lngyk,Lngmk,Lvgjk,Löguk,Ligak,Lugek
1805,Basic,Bhstc,Bqsxc,Bmsbc,Basuc,Besic,Besoc
1806,gaebe,gtsbj,gqzbs,gwqbh,gäibu,gaobo,geobe
1807,Brach,Brbch,Brxch,Brxch,Brech,Broch,Bräch
1808,Euren,Xnrsn,Vcrvn,Plrcn,Uarön,Airen,Oorun
1809,hupst,hlpst,hdpst,hmpst,hopst,häpst,höpst
1810,Zinn,Zznn,Zhnn,Zqnn,Zonn,Zünn,Zunn
1811,Pilz,Pnlz,Pplz,Pmlz,Pulz,Palz,Pulz
1812,Kropf,Krmpf,Krdpf,Krtpf,Kröpf,Krupf,Krepf
1813,Qual,Qwcl,Qsml,Qspl,Qeil,Qaol,Quil
1814,Spott,Spftt,Spktt,Spvtt,Spütt,Sputt,Sputt
1815,Groll,Grlll,Grwll,Grjll,Grall,Gräll,Gröll
1816,ihrem,mhrnm,zhrgm,xhrrm,ihrum,uhrom,ähram
1817,raet,rjxt,rmht,rqtt,ruot,roet,reät
1818,Erden,Frdnn,Prdrn,Grdhn,Ärdan,Ardon,Irdan
1819,Traut,Trbwt,Trjjt,Trxft,Truut,Troit,Troit
1820,Gebe,Ggbw,Gcbk,Glbm,Gibu,Gibö,Gibu
1821,Neckt,Nkckt,Nnckt,Nlckt,Nockt,Nockt,Nockt
1822,Maas,Mqhs,Mpys,Mhns,Mois,Moüs,Meos
1823,ruege,rjygq,rhfgz,rsygh,riugi,räugo,reoga
1824,Walle,Wdllm,Whlln,Wmllc,Walla,Walla,Willa
1825,Zehr,Zyhr,Zlhr,Zqhr,Zuhr,Zihr,Zuhr
1826,angst,rngst,yngst,jngst,ungst,ingst,ängst
1827,Tadel,Tzdxl,Tsdsl,Tgdyl,Tidil,Tidol,Todal
1828,Moses,Mksns,Mysts,Mnsfs,Misis,Mäsas,Mosas
1829,rares,rsrgs,rwrcs,rzrms,räras,ruras,rirös
1830,doofe,dzpfh,dwvff,dqdfz,döäfä,deafi,deofi
1831,Winkt,Wbnkt,Wznkt,Wrnkt,Wankt,Wunkt,Wankt
1832,Meere,Mgyrc,Mrxrv,Mpxrr,Moiri,Muiru,Moure
1833,Zeile,Zvrlq,Znglx,Zqhlh,Zoule,Züoli,Zeila
1834,Unke,Jnkw,Cnkr,Fnkd,Enkä,Enku,Enko
1835,Pure,Pcrf,Pbrd,Prrg,Porä,Para,Paro
1836,Crêpe,Crêpy,Crêpz,Crêpm,Crêpi,Crêpo,Crêpa
1837,Pech,Pjch,Ppch,Pgch,Pach,Poch,Puch
1838,Dogge,Djggw,Dyggr,Dhggg,Daggä,Doggo,Doggi
1839,Rahm,Rwhm,Rlhm,Rbhm,Rohm,Röhm,Rohm
1840,parat,pmrlt,pbrct,plrgt,porut,porut,puret
1841,Log,Lfg,Lkg,Lng,Lig,Lig,Lüg
1842,Basis,Bnsds,Bxsps,Bqsps,Büsos,Busis,Besus
1843,Creme,Crvmm,Crkmp,Crfmw,Cramo,Crime,Cremi
1844,perle,pbrlw,plrlv,pcrls,porlä,pörlö,pirlu
1845,Zauns,Zfpns,Zjrns,Zrjns,Ziäns,Zeuns,Zoans
1846,Safes,Shfgs,Shfls,Spfws,Sufös,Süfos,Sofäs
1847,Bruno,Brfny,Brzns,Brdnr,Brine,Brinü,Brena
1848,Raps,Rxps,Rtps,Rfps,Rups,Rips,Reps
1849,lag,ltg,ldg,ldg,läg,lug,lug
1850,Volt,Vnlt,Vtlt,Vglt,Valt,Vult,Vilt
1851,Kulte,Kfltt,Kflts,Ktltt,Kelta,Kulta,Kilte
1852,Trios,Trrys,Trcxs,Trkns,Treis,Trees,Truus
1853,Panne,Pvnnn,Ppnnz,Pcnng,Pünno,Pünnu,Ponne
1854,drang,drcng,drsng,drmng,dröng,dring,dräng
1855,reg,rfg,rdg,rmg,rog,rog,rag
1856,Kocht,Kjcht,Kvcht,Kpcht,Kecht,Kecht,Kacht
1857,aber,jbdr,xbfr,jbbr,abar,abor,ubar
1858,Ideal,Jdcjl,Kdybl,Pdbrl,Üdael,Aduol,Idaul
1859,Bete,Bftw,Blts,Bmtv,Bute,Böte,Bütu
