,Word,CS_v1,CS_v2,CS_v3,PW_v1,PW_v2,PW_v3,train_test
1241,canon,cxnfn,cqncn,chnqn,cenun,conen,cinun,Train
1242,inka,fnkm,knkp,znkm,unko,anko,unki,Train
1243,fachs,fnchs,fschs,fqchs,fechs,fichs,fochs,Test
1244,eulen,jzlqn,pdlpn,rdlmn,oilen,eilon,uulun,Train
1245,miste,mtstm,mnstz,mhstp,mostu,masto,moste,Train
1246,hopse,hqpsf,hvpsb,hqpsg,hipsi,hipsu,hepso,Train
1247,lege,lwgf,lngf,lqgp,luga,lagu,legi,Test
1248,nervt,nhrvt,nqrvt,nbrvt,narvt,nurvt,norvt,Test
1249,bund,bnnd,bcnd,btnd,bond,bend,bend,Train
1250,gib,gqb,gjb,gtb,gob,gub,gob,Train
1251,raust,rmpst,rjhst,rqjst,reast,ruost,riost,Train
1252,harn,hhrn,hwrn,hsrn,hurn,hurn,hern,Train
1253,tods,tbds,txds,tjds,teds,tids,tuds,Train
1254,barke,bzrkk,bjrkk,bwrkm,burke,burke,burku,Test
1255,zion,zpnn,zpxn,zvtn,ziun,zien,zein,Train
1256,dildo,drldk,dsldn,dhldx,deldo,daldu,delde,Test
1257,tollt,tlllt,tzllt,twllt,tullt,tallt,tillt,Train
1258,punks,pfnks,ppnks,pynks,panks,panks,ponks,Train
1259,papst,pypst,pspst,pspst,popst,pupst,pupst,Train
1260,fege,fmgv,fhgc,fngc,figu,fige,figi,Test
1261,nabel,nnbxl,nqbql,nybgl,nebul,nibil,nabal,Train
1262,milz,mclz,mllz,mclz,molz,molz,molz,Test
1263,eifer,jffcr,gdfkr,fxfzr,iefur,iofor,iufar,Test
1264,geber,gnblr,gfbsr,ggbqr,gober,gobar,gebor,Train
1265,arche,nrchx,brchs,rrchy,urchu,ircha,orcha,Test
1266,bande,bbndp,bjndj,bnndc,bende,bondu,bondi,Train
1267,beugt,bvwgt,bffgt,bplgt,boigt,baigt,beigt,Train
1268,hunne,hfnnz,hmnnl,hnnnk,hinne,hunno,henno,Train
1269,namen,nrmyn,nqmmn,nymdn,numon,nimon,numun,Train
1270,aexte,ngxtc,mdxtq,vxxtb,aoxto,uixte,ioxte,Test
1271,sieh,swzh,scnh,swxh,suih,sioh,seeh,Train
1272,lenin,lwnkn,lsnbn,lynmn,lonen,lonun,lenan,Test
1273,rohes,rchss,rxhds,rphbs,rohus,rahis,rahos,Train
1274,knopf,knjpf,knbpf,knvpf,knupf,knupf,knipf,Train
1275,hisse,hfsss,hwsst,hlssj,hesso,hessu,hessa,Test
1276,siebt,szmbt,sfhbt,svjbt,seibt,saebt,seebt,Train
1277,alls,zlls,klls,slls,olls,ulls,ells,Test
1278,manne,mxnnv,mbnnq,mwnnt,menna,minnu,menni,Test
1279,brand,brgnd,brqnd,brcnd,brend,brond,brond,Train
1280,lohns,lqhns,lxhns,lchns,lehns,luhns,luhns,Train
1281,masse,mmssd,mfssv,mwsss,massu,messo,missu,Train
1282,liz,lwz,lpz,lbz,lez,loz,loz,Train
1283,mohn,mqhn,mxhn,mshn,muhn,mehn,muhn,Train
1284,garer,gtrrr,ggrvr,gyrhr,gerur,garir,girir,Train
1285,kante,khntc,kgntx,khntw,kanto,kunte,kanto,Train
1286,hast,hfst,hsst,hvst,hust,hist,host,Train
1287,penis,pmnys,pwncs,pxnps,penus,pines,punos,Train
1288,zelle,zwllt,zfllx,ztlld,zelli,zulla,zollu,Train
1289,motzt,mytzt,mytzt,mxtzt,metzt,matzt,metzt,Train
1290,hakt,htkt,hykt,hlkt,hikt,hukt,hokt,Train
1291,fink,fcnk,ffnk,fhnk,fonk,fank,fonk,Test
1292,wagon,wlgnn,wpgzn,whgln,wagun,wagin,wogon,Train
1293,tests,tgsts,txsts,tlsts,tists,tusts,tasts,Train
1294,fuss,fcss,ftss,fcss,fiss,foss,fiss,Train
1295,saite,shrtr,syxtq,sqbtz,suita,seuti,soetu,Train
1296,tauft,trcft,tpjft,tfvft,teoft,touft,tooft,Train
1297,adele,gdbls,tdpls,qdwlh,uduli,adelo,edile,Train
1298,kais,kmps,kwrs,kvqs,kius,keos,kuus,Train
1299,ihre,phrn,bhrd,khrc,uhri,ahru,ahre,Train
1300,lunte,lrntr,lkntk,lsntl,lonto,lanta,lanti,Test
1301,innig,fnnjg,gnnqg,gnntg,annog,innog,unnag,Train
1302,dubai,dqbpb,dybqw,dxbst,debaa,dibaa,dibaa,Train
1303,eitle,bktlz,tytlb,brtlj,uotla,uutle,aotli,Train
1304,rage,rfgw,rvgm,rggc,rigo,roga,rogi,Test
1305,kunst,klnst,kgnst,ktnst,konst,kinst,konst,Test
1306,bonus,bhnhs,byngs,bnnrs,bunos,benus,banas,Train
1307,palme,pmlmt,pqlmh,pllmv,palmo,palma,pelma,Train
1308,lauf,lnxf,lvpf,lzhf,luof,louf,loaf,Train
1309,filz,fjlz,frlz,fxlz,fulz,falz,felz,Train
1310,jubel,jgbvl,jgbll,jybrl,jibul,jabel,jubol,Train
1311,kamst,kkmst,kvmst,kjmst,kumst,kemst,kemst,Train
1312,hanoi,hpnfm,hqnqm,hjntm,hanai,hunee,henia,Train
1313,dame,dlmf,dlmd,dkmy,domi,dimi,dama,Train
1314,bezug,bgzqg,bqzfg,bczdg,bozag,bizag,buzag,Train
1315,wolfs,wtlfs,wtlfs,wslfs,wilfs,walfs,walfs,Test
1316,argen,grgwn,nrgmn,yrgpn,urgen,ergen,urgun,Train
1317,fixer,fjxpr,frxxr,ffxqr,fexar,fuxur,fixir,Train
1318,notiz,nqtqz,nttxz,nvtbz,nitoz,netaz,natuz,Train
1319,juckt,jmckt,jnckt,jwckt,jeckt,jickt,jickt,Test
1320,ivans,svsns,mvdns,bvtns,ivons,ivons,ivons,Train
1321,auch,lgch,yfch,qsch,iech,uuch,ioch,Train
1322,tore,tlrn,tbrw,tzrm,turu,taru,taro,Train
1323,webt,wpbt,whbt,wkbt,wubt,wibt,wobt,Train
1324,lakai,lzkbx,lskzn,lwklj,lekau,lekui,lokeu,Test
1325,lende,lbndc,lwndb,lwndt,lendi,lunde,lendu,Train
1326,banjo,bknjj,bgnjn,bvnjg,benju,binje,banje,Train
1327,sagen,spgln,skgyn,sngcn,sigen,sogon,sogun,Train
1328,froh,frzh,frgh,frlh,frah,frih,frih,Train
1329,zicke,zrckj,zxckh,zwckv,zacka,zicku,zocki,Train
1330,vagen,vdgbn,vjgnn,vmgzn,vigen,vagon,vegan,Test
1331,uran,jrbn,lrnn,brqn,erin,oron,aren,Train
1332,dome,dlmr,dcmv,dtml,dime,domi,dumu,Train
1333,nerve,nkrvg,ngrvh,nqrvl,norvi,nirve,nurvi,Train
1334,made,mddf,mcdv,mddw,mudi,madi,mudo,Train
1335,troll,trnll,trbll,trlll,trill,trell,trall,Train
1336,senf,sjnf,sknf,scnf,sinf,sunf,sunf,Train
1337,flurs,flnrs,flgrs,flyrs,flirs,flirs,flars,Train
1338,worin,whrhn,wvrjn,wyrgn,warun,wuren,wuren,Train
1339,wuest,wflst,whwst,wklst,wiast,woast,waust,Test
1340,lanka,lbnkq,llnkj,lznkz,lenko,lenki,lonke,Train
1341,kaust,kdmst,kbsst,kqwst,kiast,keust,kiist,Train
1342,nette,ncttw,nfttq,nrttg,natto,nitta,nutti,Train
1343,hunde,hzndl,hlndf,hbndh,hendi,hindi,hindi,Train
1344,umzug,zmzrg,ymzlg,wmzrg,amzag,umzag,imzig,Train
1345,narr,nhrr,nfrr,nkrr,norr,nerr,nurr,Train
1346,zorns,zlrns,znrns,zbrns,zirns,zerns,zurns,Train
1347,rotem,rktsm,rmtqm,rqtjm,ratom,ratem,retem,Test
1348,pippi,pfppq,pjppl,pjppb,peppi,pappi,pippa,Train
1349,harrt,hjrrt,hwrrt,hdrrt,herrt,hurrt,hurrt,Train
1350,sture,sttrc,stnrm,stvrq,stira,store,stire,Train
1351,rabe,rpbk,rbbc,rfbp,rube,raba,riba,Train
1352,bit,bpt,bgt,bgt,watu,tumpu,sohnt,Train
1353,hofe,hbfc,hyfh,hhfx,hafa,hufo,hufo,Train
1354,siehe,sychb,sbqhc,sjfhk,suuho,seohi,seahe,Train
1355,raute,rbxtv,rhmtb,rzmtd,ruata,raote,rootu,Test
1356,irrt,xrrt,jrrt,qrrt,orrt,orrt,arrt,Train
1357,haar,hjvr,hgmr,hxjr,huor,huur,haor,Train
1358,waren,wfrhn,wkrbn,wlrpn,waran,wuron,woren,Train
1359,algen,zlgfn,plgnn,slghn,ilgun,algan,elgen,Train
1360,dings,dpngs,dxngs,dgngs,dengs,dongs,dangs,Train
1361,abgab,tbgxb,xbgkb,sbgbb,obgob,obgeb,ubgab,Train
1362,kiew,kqdw,kytw,kcgw,keiw,koiw,koiw,Train
1363,wobei,wsbyn,wcbhm,wzbgl,wibeu,wabie,wabou,Train
1364,deine,dtnnp,dfsnr,dznnk,dianu,daunu,diuna,Train
1365,helga,hnlgx,hylgt,hclgs,hilge,halgi,holgi,Train
1366,behob,bzhwb,bvhrb,bnhzb,behab,bahub,beheb,Test
1367,reger,rygsr,rkglr,rygjr,regar,rogor,rigar,Train
1368,julis,jslzs,jjlxs,jylcs,jolis,julos,julus,Train
1369,jagd,jtgd,jngd,jggd,jigd,jegd,jigd,Train
1370,hockt,hsckt,hqckt,hnckt,huckt,hickt,huckt,Test
1371,huren,hqrsn,hqrnn,hmrqn,heren,herin,heron,Train
1372,haifa,hhtfz,hnpfn,hlbfx,hoafe,hiufu,haafi,Train
1373,gala,ghlx,gklp,gflr,goli,gilo,gulo,Test
1374,weil,wpnl,wlml,wgll,wool,wual,wiil,Train
1375,saehe,sqnhb,scqhk,sgbhj,suehi,siaha,sueho,Train
1376,lieds,ltxds,lcyds,lppds,loods,leids,laods,Train
1377,riss,rrss,rqss,rdss,rass,rass,rass,Train
1378,von,vhn,vrn,vsn,vun,vun,vin,Test
1379,wehre,wthrd,wkhrf,wbhrz,wihre,wuhre,wohro,Test
1380,java,jmvh,jmvs,jhvx,jovo,jive,jivo,Train
1381,unter,tntxr,cntxr,fntqr,untar,antir,entur,Train
1382,pumas,ppmrs,ppmls,psmjs,pames,pomes,pomis,Train
1383,magie,mqgzf,mvglg,mbgjz,magoi,mogoa,migeu,Test
1384,jenen,jwnzn,jcndn,jqnjn,janin,jenan,junan,Train
1385,katia,kgtxd,kmtzf,kvtnv,kitau,kotuo,ketae,Train
1386,rolle,rtllh,rwlly,rfllp,rallu,rello,rilla,Train
1387,butan,bntkn,bdthn,bxtcn,batun,buten,batin,Test
1388,maria,mnrbr,myrlt,mkrsn,mirua,merie,marou,Test
1389,brach,brgch,brkch,brcch,brech,brech,broch,Train
1390,reden,rwdgn,rtdxn,rkdsn,ridun,rodun,rudan,Train
1391,gas,gcs,gls,gms,gis,ges,gis,Train
1392,gruss,grcss,grpss,grxss,gress,grass,gress,Test
1393,irrem,prrlm,zrrwm,frrvm,arrim,urrim,orrim,Train
1394,kille,kzllr,kfllb,khlly,kulla,kallu,kolli,Train
1395,tinas,tknks,tsnss,tfnqs,tonus,tonos,tanis,Test
1396,eurem,brrmm,gcrvm,fgrhm,aorim,iorem,uurim,Train
1397,raps,rkps,rjps,rtps,reps,rops,rops,Train
1398,citys,cttys,cltys,chtys,cetys,cotys,cutys,Train
1399,pop,pkp,plp,pfp,pip,pap,pap,Train
1400,deal,dsgl,dyql,dgvl,doul,duel,duol,Test
1401,mumie,mqmxd,mhmkv,mzmhj,mumoa,mimuo,mimuo,Train
1402,mann,mjnn,mbnn,mfnn,monn,minn,monn,Train
1403,beige,bldgg,bktgh,brcgv,bougi,buigu,buogu,Train
1404,fehde,frhdz,fyhdk,fhhdw,fihda,fuhdo,fohdi,Train
1405,raet,rnzt,rsbt,rdqt,root,raut,reat,Train
1406,koje,kwjw,kwjg,kfjr,koju,kuji,kije,Train
1407,visum,vrszm,vksxm,vgsgm,vesom,vosum,vosum,Train
1408,tanke,tlnkb,tjnkl,trnkb,tenke,tanki,tinke,Train
1409,krug,krcg,krzg,krvg,kreg,krog,krog,Train
1410,kalt,kflt,kzlt,kblt,kolt,kilt,kilt,Train
1411,faxte,fyxts,fjxtq,fsxtg,fexti,faxtu,foxto,Test
1412,oel,gcl,kxl,hhl,aul,ual,oil,Test
1413,silos,sxlvs,szlqs,sxlds,sulis,sules,silis,Train
1414,bilds,bslds,bplds,bnlds,balds,bolds,belds,Train
1415,kaff,ktff,ktff,kgff,kuff,kuff,keff,Train
1416,bills,bhlls,bmlls,bmlls,bulls,bells,bulls,Train
1417,laben,ldbpn,ldbqn,lxbkn,lebun,liban,labun,Train
1418,kopfs,krpfs,krpfs,kjpfs,kupfs,kipfs,kepfs,Train
1419,indem,hndlm,nndgm,rndfm,indum,andem,undam,Train
1420,saet,srtt,sdmt,shst,suut,soot,seot,Train
1421,jahwe,jphww,jrhws,jphwb,juhwa,johwu,jihwa,Test
1422,aster,nstwr,xstrr,nsthr,estur,ester,ustir,Train
1423,ziels,zkwls,zlfls,zgcls,zools,zeels,zoels,Test
1424,puts,pzts,pcts,psts,pats,pats,pets,Train
1425,toene,tpgnb,tptnx,tksnj,teuni,toanu,teona,Test
1426,brat,brqt,brlt,bryt,brit,bret,bret,Train
1427,sport,spfrt,spgrt,spsrt,spert,spirt,spirt,Train
1428,geht,gsht,gpht,gjht,giht,guht,giht,Train
1429,divas,dkvms,dzvls,dtvgs,devas,duvos,duvos,Train
1430,fluss,flmss,flbss,flsss,fliss,fless,flass,Train
1431,dorrt,dtrrt,dcrrt,dnrrt,durrt,durrt,dirrt,Train
1432,sorgt,svrgt,svrgt,skrgt,sergt,sergt,sirgt,Train
1433,fusst,frsst,fpsst,fhsst,fosst,fosst,fisst,Train
1434,tages,txgvs,tsgks,tfgws,tegos,togis,tuges,Train
1435,cum,cjm,cym,chm,cam,cem,cim,Train
1436,zone,znnk,zfnj,zhnr,zinu,zonu,zono,Test
1437,kimm,kmmm,kwmm,kvmm,kemm,kemm,kumm,Test
1438,kerls,kvrls,knrls,ksrls,korls,korls,kirls,Train
1439,krone,krhnj,krfng,krpnb,krune,kranu,krina,Test
1440,steil,stghl,ststl,strml,stoel,stiul,stoul,Train
1441,trist,trtst,trmst,trzst,trast,trest,trast,Train
1442,wage,wjgm,wwgb,wkgb,wigo,wogu,wiga,Test
1443,hoert,hqwrt,hdtrt,hzhrt,huert,hourt,hourt,Train
1444,hohe,hshw,hqhc,hshv,heho,hahi,hiho,Train
1445,begab,bhgfb,bygpb,bqgvb,bigub,bugob,bugeb,Train
1446,bart,bnrt,bnrt,bxrt,bort,bort,burt,Train
1447,abtut,lbtzt,pbtwt,xbtgt,ebtut,ebtit,ebtet,Train
1448,anna,dnnc,znnt,lnns,unna,onnu,unna,Train
1449,boot,bxxt,byjt,bdkt,buut,boit,beit,Test
1450,zaren,zxrzn,zwrbn,zrrln,zoran,zirun,ziran,Train
1451,gable,gvblh,gsblv,grblf,gibla,gobli,gebli,Test
1452,leber,llbrr,lpbjr,lxbmr,luber,lobur,liber,Train
1453,voilà,vqvlà,vtblà,vfglà,vaulà,violà,voolà,Test
1454,rosa,rrsr,rfsd,rvsh,rusu,rosu,rusi,Train
1455,feind,frgnd,ftbnd,fypnd,foind,faund,foond,Train
1456,frohe,frvhk,frrhk,frhhb,fruhi,froho,froha,Test
1457,stahl,styhl,sthhl,stkhl,stehl,stehl,stihl,Test
1458,jurys,jmrys,jmrys,jrrys,jirys,jorys,jerys,Train
1459,sun,szn,sdn,sbn,son,son,son,Train
1460,kojen,kwjpn,kkjln,kyjmn,kejun,kajon,kojin,Train
1461,wiege,wkmgq,wbvgm,wlqgl,waaga,weego,waagi,Train
1462,waege,wtzgq,wrggx,wtvgx,wuago,weegu,wiagi,Train
1463,raunt,rbfnt,rcynt,rlgnt,ruent,riint,reint,Test
1464,rasen,rvsxn,rfsqn,rpsmn,rusun,rasan,rasun,Train
1465,bryan,brydn,bryrn,bryjn,bryen,bryon,bryon,Train
1466,ratio,rbtkt,rntkf,rgtfv,rutea,ritia,retou,Train
1467,losen,lwsfn,lrsnn,lgsjn,lasin,lesun,lusin,Train
1468,blank,blbnk,blvnk,blhnk,blink,blunk,blonk,Train
1469,preis,prqqs,prbms,prxvs,prous,prees,praes,Test
1470,wade,wldf,wydb,wjdp,wede,weda,wudi,Test
1471,feen,fntn,fngn,fczn,fiin,feun,fien,Train
1472,karos,kfrjs,kjrgs,kwrss,kuros,karus,korus,Train
1473,ohm,chm,hhm,fhm,uhm,ahm,uhm,Train
1474,fan,frn,fzn,fjn,fin,fon,fin,Train
1475,arie,prxw,nrjr,prpf,erii,eruu,arau,Train
1476,neues,nczps,nksms,nhgfs,niaus,niuos,naias,Test
1477,niete,nysty,njttb,nnktt,nuetu,naeta,nuito,Train
1478,egon,bgcn,wgkn,xgkn,agin,ugin,agin,Train
1479,mayas,mqyps,mnyns,mqyss,mayos,miyus,miyos,Train
1480,weilt,wkhlt,wfslt,wxllt,weolt,woilt,wault,Test
1481,wohl,wrhl,wnhl,wnhl,wuhl,wehl,wihl,Train
1482,hegen,hcgxn,hhgxn,hmgfn,hugin,hegun,higon,Train
1483,vasen,vzsxn,vnsfn,vhskn,vusan,vasun,vasun,Train
1484,heuer,htkyr,hgvjr,hwsgr,hoier,heior,hoiir,Test
1485,edith,rdnth,qdcth,ydcth,adoth,aduth,oduth,Train
1486,wuchs,wkchs,wrchs,wkchs,wechs,wechs,wochs,Train
1487,einst,wdnst,gdnst,khnst,eunst,oanst,eonst,Train
1488,puste,pxstm,plstx,pkstk,posta,pastu,pesto,Train
1489,maus,mxbs,mths,mvds,muos,muis,muas,Train
1490,sees,skgs,sggs,swws,suis,sais,suos,Test
1491,erdig,krdfg,wrdpg,srdxg,ardeg,urdag,ardig,Train
1492,sei,sjn,scz,svb,sua,sia,suo,Test
1493,wanze,wznzk,whnzy,wcnzc,wunzu,wunza,wonzu,Train
1494,ladys,lsdys,lkdys,lldys,ludys,ledys,lodys,Train
1495,teich,tbjch,tvjch,tktch,tuich,tiach,tiach,Train
1496,nixen,nwxbn,nkxvn,nvxyn,noxen,nuxin,nuxin,Test
1497,kaeme,kytmv,kqjmb,kfdmw,kuumu,koemo,kaema,Train
1498,eden,gdfn,gdln,ddpn,idin,edon,odon,Train
1499,sinus,smnvs,sxnps,sdnss,sanis,sanes,sinas,Train
1500,rowdy,rfwdy,rqwdy,rswdy,ruwdy,ruwdy,riwdy,Train
1501,jacht,jlcht,jwcht,jtcht,jicht,jicht,jecht,Train
1502,zoege,zyzgh,zgggf,zyzgg,ziegi,zaege,zuuga,Train
1503,fader,fsdlr,ftdkr,fcdnr,fadur,fadir,fedar,Train
1504,herd,hvrd,hmrd,hgrd,hard,hurd,hird,Train
1505,tupft,tqpft,tqpft,tfpft,tapft,tepft,tipft,Train
1506,ran,rqn,rtn,rjn,ron,ron,rin,Train
1507,rune,rynv,rqns,rxns,runo,rano,runo,Train
1508,ziehe,zsthb,zwvhw,znshl,zuuhi,zuehu,zaahu,Test
1509,knote,knwtq,knwts,knltj,kneta,knute,knuta,Train
1510,aue,ygv,zjd,zrn,oie,eia,iee,Train
1511,zog,zbg,zcg,zcg,zeg,zeg,zeg,Test
1512,bobs,bxbs,bwbs,bnbs,bubs,babs,bebs,Train
1513,ansah,vnsyh,ynsth,fnsjh,inseh,unseh,onsuh,Train
1514,clone,clknb,clvnq,clwnm,clano,clane,clini,Train
1515,egeln,ngxln,ygbln,pgdln,ogiln,ogeln,ugeln,Train
1516,jazz,jyzz,jmzz,jyzz,juzz,jizz,juzz,Train
1517,total,tlthl,tftrl,tjtvl,totel,tutol,titol,Train
1518,kopfe,krpfm,knpfn,kcpfg,kepfu,kapfa,kepfo,Train
1519,erzog,frzbg,grzyg,qrzkg,orzeg,arzug,urzug,Train
1520,eier,lwpr,ffgr,wvkr,oair,auor,aaer,Train
1521,walde,wsldc,wxldx,wzldq,wulde,woldi,waldu,Train
1522,taugt,tbzgt,twmgt,tqqgt,tuegt,teogt,taagt,Train
1523,fluid,flytd,fldwd,flxxd,flaid,floud,flood,Test
1524,trunk,trdnk,trnnk,trtnk,tronk,trenk,tronk,Train
1525,gagen,glgvn,gtgsn,gygcn,gegon,gigen,gogin,Train
1526,anno,bnnf,lnnv,mnnm,unno,unne,innu,Train
1527,stolz,stxlz,stwlz,stxlz,stalz,stulz,stulz,Train
1528,warts,wfrts,wxrts,wzrts,crush,zuos,ihran,Train
1529,hamed,hqmpd,hqmfd,hgmnd,hamad,homad,humud,Train
1530,dank,dhnk,dtnk,djnk,dink,dink,donk,Train
1531,matt,mxtt,mztt,mqtt,mutt,mutt,mott,Train
1532,bass,blss,blss,btss,bess,buss,buss,Train
1533,punk,pjnk,pknk,pjnk,pank,penk,ponk,Train
1534,ozean,gzttn,szknn,zzjwn,ozuun,azuun,iziin,Test
1535,hefte,hzftj,hvftl,hbftr,hofte,hofti,hofte,Train
1536,nager,nngbr,nggtr,nrgqr,negor,nugar,nogur,Train
1537,maden,msdvn,mpdvn,mkdcn,midan,mudan,midun,Train
1538,traf,trwf,trjf,trvf,tref,truf,trof,Train
1539,trete,trrtc,trntg,trgtg,trata,tritu,trota,Test
1540,rache,rkchh,rhchn,rmchz,riche,rechu,roche,Test
1541,volle,vlllz,vlllw,vylll,vellu,volla,vallu,Train
1542,ulmen,clmpn,hlmcn,llmjn,ilmin,elmin,ulman,Train
1543,ionen,snnyn,mwnwn,qxnwn,aanan,uinun,eunin,Train
1544,hirn,hvrn,hzrn,hxrn,hern,hern,hurn,Test
1545,cool,cngl,cknl,cdgl,caol,ceal,ciul,Train
1546,coca,chcg,cxcm,cfcx,cacu,coci,cocu,Train
1547,satte,sdtty,sjttb,smttf,setta,sotta,sattu,Train
1548,luden,ljdzn,lhdtn,lqdfn,lodun,lodon,lodan,Train
1549,mol,mvl,mll,mdl,mel,mul,mel,Train
1550,eklig,lklhg,nklrg,mklgg,uklog,oklig,iklag,Train
1551,darm,dgrm,dfrm,dxrm,durm,dorm,derm,Train
1552,wecke,whckp,wgckb,wrckh,wocki,wecka,wecka,Train
1553,kap,ksp,kyp,knp,kep,kip,kip,Train
1554,ticks,tzcks,thcks,twcks,tucks,tecks,tocks,Train
1555,evas,dvds,hvns,nvss,aves,avis,evus,Train
1556,fahre,frhrn,fnhry,fqhrn,fahro,fahra,fahri,Train
1557,zahl,zfhl,zphl,zfhl,zehl,zuhl,zehl,Train
1558,urban,qrbwn,nrbfn,zrbjn,orben,urben,orban,Train
1559,nacht,nncht,ntcht,nxcht,necht,nocht,nucht,Train
1560,keck,kjck,kpck,klck,kuck,kack,kock,Train
1561,opel,ypll,ypjl,lpql,epal,apil,upol,Train
1562,freak,frhrk,frvqk,frkgk,fraok,frouk,fruek,Test
1563,lears,lnvrs,lggrs,lfzrs,leers,liers,leirs,Train
1564,der,dzr,dyr,dfr,dur,dor,dur,Train
1565,gunst,gnnst,gvnst,gknst,gonst,gonst,genst,Train
1566,uhr,hhr,rhr,chr,ehr,ahr,ahr,Train
1567,ohres,shrns,khrgs,shrws,uhrus,ihras,ehris,Train
1568,bahn,bmhn,brhn,bvhn,behn,bihn,bihn,Test
1569,shell,shrll,shzll,shfll,sholl,shall,shill,Test
1570,leser,lwssr,lysnr,lmsyr,lasor,lesor,lesar,Train
1571,muss,mvss,mbss,mwss,mess,mess,moss,Train
1572,bring,brrng,brtng,brvng,brong,brong,breng,Train
1573,sek,syk,svk,sgk,suk,sik,sik,Train
1574,isis,msns,ssns,hsks,usis,usos,isos,Train
1575,hinz,htnz,hnnz,htnz,hunz,hunz,hunz,Test
1576,faste,fwstl,fgstr,fnstk,fasta,fusto,fosto,Train
1577,paste,pqsts,pqstp,prstt,pesto,postu,pisto,Train
1578,wichs,wtchs,wfchs,wfchs,wochs,wochs,wechs,Train
1579,halt,hglt,hllt,hxlt,helt,hilt,hilt,Train
1580,reim,rdwm,rntm,rgzm,riam,ruem,raam,Test
1581,antat,gntxt,nntpt,cntct,ontit,untut,ontat,Test
1582,novum,nfvcm,nnvym,nbvwm,nevam,nuvum,novim,Test
1583,indus,dndjs,lndqs,zndms,indos,undus,undos,Train
1584,hohl,hjhl,hlhl,hxhl,huhl,huhl,huhl,Train
1585,benz,bjnz,bhnz,bgnz,binz,bonz,binz,Test
1586,tippt,tgppt,tpppt,tcppt,tuppt,teppt,tuppt,Train
1587,wales,whlys,wvlns,wvlds,wolas,walis,wilas,Test
1588,mimik,mjmfk,mrmck,mpmwk,mamuk,mamok,memek,Train
1589,alpen,ylprn,dlpln,klpzn,olpan,olpan,olpon,Train
1590,tauen,tjjmn,tppwn,tzvdn,toiin,taeun,taion,Train
1591,dazu,dpzv,dlzj,drzp,duzo,dize,dezo,Test
1592,apfel,fpfll,wpfzl,qpfll,ipfal,opfal,opfal,Test
1593,ehen,nhxn,qhxn,zhhn,ehon,ahun,uhen,Train
1594,stift,stxft,stlft,stcft,steft,stoft,steft,Train
1595,unzen,znzfn,wnzcn,qnzpn,inzan,unzin,inzen,Test
1596,bin,brn,bsn,bln,bun,ban,bun,Test
1597,fremd,frjmd,frnmd,frxmd,frimd,framd,fromd,Train
1598,atoms,jttms,stvms,rttms,otems,utoms,otoms,Train
1599,eiche,lqchl,yvchv,hkchc,iucha,iichi,eachi,Train
1600,wurms,wsrms,wkrms,wmrms,werms,werms,warms,Train
1601,hegt,hfgt,hzgt,hhgt,hagt,hugt,hagt,Train
1602,kost,kmst,kbst,klst,kist,kust,kust,Test
1603,urin,prgn,trqn,trnn,eron,uron,urun,Train
1604,lila,ltlr,lklp,lxlw,lile,lelu,leli,Train
1605,zehn,zwhn,zphn,zjhn,zohn,zihn,zuhn,Train
1606,oben,bbqn,bbqn,qbln,abun,ebun,abun,Train
1607,opas,cpks,npzs,jprs,ipos,opos,ipus,Train
1608,her,hwr,hvr,hxr,hir,hur,har,Train
1609,linz,lznz,lxnz,lynz,lanz,lunz,lunz,Test
1610,groll,grqll,grgll,grfll,grall,grall,grall,Test
1611,haien,hxfgn,htdhn,hgxcn,hiean,huuin,heeun,Train
1612,spult,spslt,spnlt,spylt,spilt,spilt,spilt,Train
1613,gong,grng,glng,gjng,geng,geng,geng,Test
1614,freue,frbyv,frvpp,frmgy,fraaa,freai,froau,Train
1615,fuchs,fschs,fpchs,fjchs,fichs,fechs,fichs,Train
1616,hugo,hlgw,hngy,hbgx,hage,hige,hagi,Train
1617,sarg,ssrg,sfrg,shrg,sorg,surg,serg,Test
1618,lerne,lqrnp,lhrnx,lyrnk,lurno,lornu,lurnu,Train
1619,poche,plchx,pmchn,pdchc,peche,pecha,peche,Train
1620,neige,nrvgb,nlggf,ngbgc,nuigu,neagi,nuago,Train
1621,armut,prmxt,hrmrt,lrmwt,ormat,armet,armat,Train
1622,kraus,krdts,krkws,krfss,kruus,kraas,kriis,Train
1623,klag,klbg,klbg,klmg,kleg,kleg,klog,Train
1624,aetna,kstnt,bwtnr,kttnh,autni,autni,ootni,Train
1625,mode,mtdq,mwdt,mldt,medi,modu,mudi,Train
1626,lilie,lslhl,lwlbv,llldk,lelue,leluu,lilae,Test
1627,hufe,hdfv,hvfq,hnfj,hufo,hafo,hifu,Train
1628,nase,nksy,nlsx,nzsk,nisa,nisi,nose,Train
1629,juble,jdblt,jtblw,jgblz,jabla,jebli,jibla,Train
1630,essig,nsscg,jssvg,gsstg,essug,ossog,essog,Train
1631,joys,jfys,jkys,jnys,jeys,jeys,jiys,Test
1632,main,mtkn,mbqn,myhn,muan,moen,maen,Train
1633,surrt,strrt,sjrrt,sjrrt,serrt,serrt,sorrt,Train
1634,galle,gnllg,gwllt,ghlly,galla,gelli,galla,Train
1635,shop,shrp,shwp,shqp,shap,shup,ship,Train
1636,raue,rcgj,rctp,rlsq,roeo,ruii,raau,Train
