;String;cond;t_t;
2404;Lvdsn;CS;Train;99
2405;Wsrtm;CS;Train;40
2406;Fkrmj;CS;Train;35
2407;Hpnsr;CS;Train;55
2408;fglls;CS;Train;25
2409;Dkrlm;CS;Train;31
2410;stlrb;CS;Train;35
2411;npxls;CS;Train;69
2412;Wbsss;CS;Train;51
2413;jfdys;CS;Train;62
2414;htltr;CS;Test;17
2415;Fnlls;CS;Train;40
2416;nymmt;CS;Train;59
2417;gntks;CS;Train;38
2418;kfmnn;CS;Test;10
2419;sttlz;CS;Train;97
2420;Zhrbr;CS;Train;38
2421;Bryng;CS;Train;68
2422;brbng;CS;Train;39
2423;ljsbn;CS;Train;99
2424;Jnsjl;CS;Train;39
2425;Hftql;CS;Train;37
2426;frtgc;CS;Train;98
2427;Mgnjt;CS;Train;64
2428;Jvmhs;CS;Train;31
2429;Srrln;CS;Test;0
2430;stsnd;CS;Train;100
2431;Gfvst;CS;Train;60
2432;glcnb;CS;Test;6
2433;Wdgfn;CS;Train;90
2434;Wmrlt;CS;Test;14
2435;Qglnt;CS;Train;100
2436;rbfmn;CS;Train;29
2437;swtzt;CS;Test;10
2438;Fnrcf;CS;Train;54
2439;Pktsr;CS;Test;10
2440;Bvhxr;CS;Train;98
2441;Kmrtr;CS;Test;5
2442;jllvr;CS;Train;42
2443;Tpfcr;CS;Train;40
2444;Prnst;CS;Train;45
2445;pmsst;CS;Train;33
2446;Hwmlr;CS;Train;33
2447;nqnnt;CS;Train;61
2448;tvllb;CS;Test;3
2449;hcbss;CS;Train;52
2450;dlhcn;CS;Train;26
2451;Wxvtn;CS;Train;36
2452;klybn;CS;Train;26
2453;sgchz;CS;Test;19
2454;fltjr;CS;Test;19
2455;mggdl;CS;Train;27
2456;sclss;CS;Train;89
2457;qffgn;CS;Train;80
2458;Thrnm;CS;Train;71
2459;Plnkt;CS;Train;21
2460;Xcblr;CS;Train;63
2461;hwlft;CS;Train;87
2462;skmbr;CS;Train;77
2463;Rrmhf;CS;Test;3
2464;Prpqs;CS;Train;28
2465;fhbrs;CS;Test;5
2466;dxrjn;CS;Train;75
2467;Rlrsl;CS;Train;45
2468;rpdrt;CS;Train;71
2469;Synnm;CS;Test;11
2470;Dwmnn;CS;Train;51
2471;Blhck;CS;Train;72
2472;Hcwrm;CS;Train;48
2473;lpnks;CS;Train;71
2474;sdptr;CS;Train;88
2475;mjgst;CS;Test;13
2476;wvsst;CS;Train;66
2477;Bslly;CS;Test;0
2478;Brcjf;CS;Test;4
2479;Rnbxn;CS;Train;66
2480;zlzgt;CS;Train;32
2481;svcht;CS;Train;41
2482;wghpn;CS;Train;67
2483;lmqss;CS;Test;2
2484;fthlt;CS;Train;81
2485;ncbhn;CS;Train;64
2486;Hpndy;CS;Train;32
2487;schnw;CS;Train;72
2488;Bypnn;CS;Train;32
2489;Bsmbp;CS;Train;95
2490;bskqm;CS;Train;100
2491;Hbrrn;CS;Train;66
2492;Tgntf;CS;Train;30
2493;vfrnv;CS;Train;53
2494;Wkhsd;CS;Test;6
2495;Plrrs;CS;Train;54
2496;Fztnd;CS;Train;98
2497;Rmdkn;CS;Train;65
2498;Vgslw;CS;Test;15
2499;lfgtn;CS;Test;20
2500;Dkrch;CS;Test;17
2501;mlxnt;CS;Train;47
2502;zmmht;CS;Test;0
2503;Wmtzv;CS;Train;69
2504;Fmnws;CS;Train;66
2505;Gcptx;CS;Train;65
2506;lssst;CS;Test;0
2507;fbhrh;CS;Train;100
2508;Bnvvr;CS;Train;23
2509;Fytzs;CS;Train;83
2510;Jwsxs;CS;Train;48
2511;Stnll;CS;Train;99
2512;blfqb;CS;Train;99
2513;Fvknf;CS;Train;47
2514;Hfnry;CS;Train;46
2515;qchtb;CS;Train;88
2516;Pfrrd;CS;Train;54
2517;lybfl;CS;Train;22
2518;Sjgsr;CS;Test;12
2519;jnngg;CS;Train;79
2520;Wrsst;CS;Train;50
2521;Swchq;CS;Test;17
2522;blsmd;CS;Test;11
2523;Wvlrt;CS;Train;21
2524;Kncst;CS;Train;55
2525;hvlfn;CS;Train;44
2526;wbttk;CS;Train;71
2527;gqbst;CS;Train;36
2528;Stdvl;CS;Train;30
2529;Mgtmr;CS;Train;99
2530;mjrvn;CS;Train;51
2531;wrdwr;CS;Train;27
2532;dwvjr;CS;Train;67
2533;stztt;CS;Train;77
2534;Pwvsc;CS;Test;8
2535;Nmgls;CS;Train;97
2536;Szpgr;CS;Train;61
2537;wbvzn;CS;Train;30
2538;wmhgr;CS;Train;75
2539;zkvwr;CS;Train;58
2540;bwczn;CS;Train;77
2541;Drwnk;CS;Train;50
2542;pndmm;CS;Test;14
2543;dtrgn;CS;Test;13
2544;Kpgjl;CS;Test;4
2545;hwslt;CS;Test;20
2546;Wbrst;CS;Train;39
2547;Yhrpn;CS;Train;76
2548;ngfdr;CS;Train;38
2549;Gftps;CS;Train;93
2550;stfhz;CS;Train;22
2551;Mpjkr;CS;Train;97
2552;Stnfn;CS;Train;33
2553;Kdtzl;CS;Train;35
2554;sstzt;CS;Train;81
2555;Klswd;CS;Train;92
2556;Szrlp;CS;Train;24
2557;hgllc;CS;Train;58
2558;Fvsch;CS;Test;13
2559;Vgrys;CS;Train;82
2560;Thzmk;CS;Train;50
2561;Flgtr;CS;Train;93
2562;llcht;CS;Train;26
2563;Drvck;CS;Train;49
2564;rgsch;CS;Test;17
2565;Flgss;CS;Test;5
2566;wlrkt;CS;Train;87
2567;Dgtzn;CS;Train;97
2568;Hdndt;CS;Test;13
2569;wnhrs;CS;Train;81
2570;Fdllx;CS;Test;9
2571;skhpn;CS;Train;54
2572;Tkbrz;CS;Train;52
2573;Kjtvs;CS;Train;93
2574;wlhnt;CS;Train;81
2575;frtwp;CS;Train;67
2576;Rtchg;CS;Train;54
2577;htgss;CS;Test;3
2578;Twtjn;CS;Train;27
2579;fhrds;CS;Train;85
2580;Bnggl;CS;Train;85
2581;sznln;CS;Train;49
2582;Njhmt;CS;Train;76
2583;Vlgbl;CS;Train;99
2584;Rjggr;CS;Test;10
2585;Kntfr;CS;Train;45
2586;Mbrgt;CS;Train;55
2587;Crstw;CS;Train;90
2588;Wvllt;CS;Train;59
2589;Fllmn;CS;Train;59
2590;frfgt;CS;Train;62
2591;Wtrvn;CS;Train;34
2592;hxlbm;CS;Train;21
2593;Fkrbr;CS;Train;56
2594;Nktfr;CS;Train;35
2595;Rngjn;CS;Train;72
2596;Hnltk;CS;Train;33
2597;hhsst;CS;Train;27
2598;Ryfln;CS;Train;37
2599;Styry;CS;Train;97
2600;Jxdms;CS;Train;26
2601;Jpnys;CS;Train;65
2602;Gynzm;CS;Train;87
2603;Drxck;CS;Test;7
2604;txntj;CS;Train;43
2605;Lfhgg;CS;Test;7
2606;Snzvg;CS;Train;98
2607;Stydg;CS;Train;35
2608;Dhvpn;CS;Train;37
2609;Gmtsr;CS;Train;85
2610;drpht;CS;Train;79
2611;Sdgbn;CS;Train;66
2612;Rjndq;CS;Train;91
2613;Stmck;CS;Train;89
2614;Prnhk;CS;Train;54
2615;Wysrn;CS;Train;76
2616;Brcyt;CS;Train;41
2617;jkgvn;CS;Train;55
2618;wndcn;CS;Train;23
2619;Rbchj;CS;Test;20
2620;Rzdmq;CS;Test;9
2621;zkbgh;CS;Train;97
2622;Glzgb;CS;Train;39
2623;Lybcr;CS;Train;94
2624;Stspp;CS;Train;21
2625;Wgrst;CS;Test;7
2626;Gbncg;CS;Train;54
2627;Mhlch;CS;Test;2
2628;Mlrbc;CS;Train;36
2629;Kfrls;CS;Test;4
2630;Wmrdx;CS;Train;26
2631;Trbck;CS;Train;28
2632;Lmgnr;CS;Train;41
2633;kndpp;CS;Train;87
2634;Zhrwn;CS;Train;95
2635;lgbst;CS;Test;2
2636;gfybb;CS;Train;72
2637;blynd;CS;Train;61
2638;Kvstq;CS;Train;92
2639;Bpcch;CS;Test;12
2640;Vwdkr;CS;Test;3
2641;Fwhrt;CS;Train;28
2642;Xffln;CS;Train;59
2643;Prtnz;CS;Test;12
2644;nvckt;CS;Train;69
2645;trqgr;CS;Train;72
2646;dpstt;CS;Train;75
2647;Zdngy;CS;Train;73
2648;Stvhl;CS;Train;32
2649;tvxqr;CS;Train;86
2650;Mvvhk;CS;Train;52
2651;Jvdgn;CS;Train;58
2652;gzrcr;CS;Test;14
2653;fnlgt;CS;Test;15
2654;Skchs;CS;Train;24
2655;Frlmt;CS;Test;7
2656;frdpt;CS;Test;13
2657;Pmlqt;CS;Train;80
2658;Hzljn;CS;Train;53
2659;fxtrn;CS;Train;48
2660;qndjt;CS;Train;36
2661;Qdpkn;CS;Train;31
2662;Dcbwt;CS;Train;92
2663;Tphtc;CS;Train;85
2664;Brdst;CS;Train;21
2665;Gtnds;CS;Train;67
2666;Bsksn;CS;Train;38
2667;Mnttw;CS;Train;61
2668;blrzb;CS;Train;48
2669;Strbm;CS;Train;37
2670;Kfnst;CS;Train;25
2671;Trjtt;CS;Train;83
2672;Jdckx;CS;Train;33
2673;Zhllc;CS;Train;66
2674;Stkch;CS;Train;98
2675;Hltty;CS;Test;13
2676;Rvhtg;CS;Train;87
2677;nsttd;CS;Train;99
2678;Chjls;CS;Train;37
2679;Pfcnd;CS;Test;11
2680;hntsn;CS;Train;73
2681;zychn;CS;Train;77
2682;lbvst;CS;Train;93
2683;Mlgrm;CS;Train;79
2684;Nrmcn;CS;Train;99
2685;Fcndh;CS;Train;77
2686;szngt;CS;Train;58
2687;Krpbs;CS;Train;51
2688;Brmdy;CS;Train;92
2689;Bzllh;CS;Train;81
2690;Stxff;CS;Train;47
2691;Mgkll;CS;Test;9
2692;Fylms;CS;Train;70
2693;whhnp;CS;Train;90
2694;Pfzzy;CS;Train;32
2695;Tsxbs;CS;Train;91
2696;Mygst;CS;Train;39
2697;Knhlx;CS;Train;63
2698;Jspsn;CS;Test;7
2699;dlcht;CS;Train;78
2700;tkthn;CS;Train;25
2701;lvxsz;CS;Test;8
2702;xzrmm;CS;Train;21
2703;trtqn;CS;Train;63
2704;wngyn;CS;Train;100
2705;Dlrrn;CS;Train;30
2706;ntnnr;CS;Train;35
2707;hzrtt;CS;Train;95
2708;srtzt;CS;Test;14
2709;Chnny;CS;Train;70
2710;Wychl;CS;Train;64
2711;rttcn;CS;Train;78
2712;Pcsst;CS;Train;51
2713;dkmmx;CS;Train;56
2714;Stgnt;CS;Train;60
2715;Bhrqf;CS;Train;21
2716;Tjsts;CS;Train;43
2717;Rhgzl;CS;Train;86
2718;Stzlz;CS;Train;75
2719;ntmgn;CS;Train;44
2720;lxbtv;CS;Train;40
2721;Wcrdk;CS;Train;47
2722;Hstfn;CS;Test;3
2723;Stqht;CS;Train;82
2724;ssrgb;CS;Train;48
2725;Hzsvn;CS;Train;77
2726;Slmsn;CS;Test;18
2727;Twfms;CS;Train;27
2728;sqtzs;CS;Train;28
2729;Lxncx;CS;Train;53
2730;Trwnk;CS;Train;99
2731;stcll;CS;Test;3
2732;Lbckt;CS;Test;16
2733;Ghgrn;CS;Train;25
2734;rytzn;CS;Train;48
2735;Lwgtn;CS;Train;91
2736;Mhgcn;CS;Train;42
2737;Grgff;CS;Train;63
2738;Kncpf;CS;Train;21
2739;Rllph;CS;Train;57
2740;Rwttw;CS;Train;54
2741;gmbbn;CS;Train;92
2742;Bcbys;CS;Train;99
2743;llths;CS;Test;20
2744;Strrm;CS;Train;33
2745;Mdtrr;CS;Test;11
2746;Drxmh;CS;Train;69
2747;bmtdn;CS;Test;19
2748;Twtql;CS;Train;58
2749;Tjdlb;CS;Train;92
2750;Ddckg;CS;Train;49
2751;dwhvr;CS;Train;30
2752;Tnllc;CS;Test;7
2753;fxngp;CS;Train;86
2754;wrmvn;CS;Test;11
2755;Zwfck;CS;Test;13
2756;Hflft;CS;Test;1
2757;Dbnkt;CS;Train;22
2758;Gyhst;CS;Train;28
2759;prrmc;CS;Test;3
2760;Kcnsm;CS;Test;19
2761;Spxkp;CS;Train;44
2762;lqjgt;CS;Train;65
2763;wnrnm;CS;Train;53
2764;Sxpps;CS;Train;26
2765;Stfrn;CS;Train;88
2766;htfwn;CS;Train;42
2767;Mkgkn;CS;Train;54
2768;Mhrxs;CS;Train;96
2769;Dzhjr;CS;Test;3
2770;Lbngw;CS;Train;22
2771;Flych;CS;Train;65
2772;shlch;CS;Test;15
2773;Mljck;CS;Train;66
2774;Wkrbm;CS;Train;51
2775;srllt;CS;Train;62
2776;lcrnt;CS;Train;53
2777;Krkqs;CS;Train;38
2778;zlhlt;CS;Train;80
2779;Bktnn;CS;Train;49
2780;Rbwch;CS;Train;28
2781;mwldj;CS;Train;30
2782;Mydzw;CS;Train;98
2783;zchln;CS;Train;87
2784;Wylch;CS;Test;13
2785;Stxrk;CS;Train;42
2786;Wrmdt;CS;Test;1
2787;Sccht;CS;Test;11
2788;Gnhdh;CS;Train;43
2789;Rfzch;CS;Train;95
2790;Rxgtn;CS;Train;68
2791;nshmt;CS;Test;14
2792;vxlkg;CS;Train;54
2793;krgfn;CS;Train;93
2794;Krvhz;CS;Train;33
2795;Bwrgk;CS;Train;83
2796;Wmttz;CS;Train;63
2797;mhrkt;CS;Train;21
2798;Mcskr;CS;Test;5
2799;kmvft;CS;Train;56
2800;kprzl;CS;Train;97
2801;trftz;CS;Test;11
2802;Brsjs;CS;Test;4
2803;Klttw;CS;Test;7
2804;wlrhn;CS;Train;47
2805;Txssc;CS;Train;79
2806;vnrdn;CS;Test;16
2807;nnbgn;CS;Test;3
2808;Prnbq;CS;Train;73
2809;Phppy;CS;Train;99
2810;trvtt;CS;Train;57
2811;Zlrpn;CS;Train;37
2812;Bprwl;CS;Train;56
2813;Lbnks;CS;Train;76
2814;Lyjft;CS;Train;28
2815;Hnmlr;CS;Train;29
2816;wzrft;CS;Train;85
2817;Jglwm;CS;Train;89
2818;Wdndq;CS;Test;8
2819;Stjrt;CS;Train;46
2820;Tvdds;CS;Train;38
2821;Kwbxl;CS;Train;92
2822;Blsmb;CS;Test;16
2823;Bgtty;CS;Train;55
2824;vfllc;CS;Test;5
2825;Sxgtg;CS;Train;80
2826;Mxgtp;CS;Train;30
2827;flshx;CS;Train;70
2828;Stzqb;CS;Train;96
2829;Bnndm;CS;Test;18
2830;Spnrt;CS;Train;45
2831;Hkmhy;CS;Train;30
2832;wcnst;CS;Train;36
2833;tcnzt;CS;Train;67
2834;kqmst;CS;Train;86
2835;Thgkr;CS;Test;2
2836;Phnhs;CS;Test;17
2837;rzfst;CS;Test;10
2838;Mcrkt;CS;Train;99
2839;Lrszn;CS;Test;13
2840;hphtn;CS;Train;33
2841;Ckrvr;CS;Train;95
2842;Mprnq;CS;Train;48
2843;Hclhn;CS;Train;59
2844;Tstxn;CS;Train;49
2845;Mdcxr;CS;Train;73
2846;Dytyr;CS;Train;54
2847;whmft;CS;Train;67
2848;Mcsst;CS;Train;86
2849;Przst;CS;Test;16
2850;Sztzt;CS;Test;18
2851;Nyttv;CS;Train;34
2852;Krdsq;CS;Train;68
2853;Krnjl;CS;Train;27
2854;Zmplx;CS;Test;14
2855;Czrtl;CS;Train;57
2856;Zbvht;CS;Train;44
2857;styts;CS;Test;20
2858;Stcnd;CS;Train;45
2859;Lrvrm;CS;Test;18
2860;Kkpvk;CS;Test;16
2861;Mlttn;CS;Train;58
2862;Stlrb;CS;Train;71
2863;Spfqn;CS;Train;68
2864;blfvz;CS;Train;29
2865;Zllzn;CS;Train;69
2866;Kfksq;CS;Train;61
2867;Pschj;CS;Train;44
2868;Vnggl;CS;Train;79
2869;Stsft;CS;Train;26
2870;Hztzw;CS;Train;28
2871;Hdkwn;CS;Test;5
2872;wwnch;CS;Train;95
2873;Llvyd;CS;Test;9
2874;Ltfnv;CS;Train;21
2875;Brstt;CS;Train;39
2876;Zxzgm;CS;Train;59
2877;mvtxg;CS;Train;90
2878;Fbpnq;CS;Train;34
2879;Wbrcn;CS;Train;35
2880;knnjn;CS;Train;29
2881;wlknt;CS;Train;76
2882;Dnkhl;CS;Train;85
2883;Ldwqs;CS;Test;16
2884;kkgmt;CS;Train;39
2885;Bqbgl;CS;Train;67
2886;Trtrn;CS;Train;54
2887;brbch;CS;Train;82
2888;gxngh;CS;Train;67
2889;Rpssd;CS;Train;70
2890;Rpmyn;CS;Test;16
2891;Hpftn;CS;Train;79
2892;Twkzh;CS;Train;38
2893;Prpmm;CS;Train;45
2894;Kgnds;CS;Test;10
2895;Phzsv;CS;Test;12
2896;Grfcs;CS;Train;39
2897;glnhg;CS;Test;5
2898;Sthfp;CS;Train;38
2899;Schrh;CS;Train;29
2900;lrrns;CS;Train;40
2901;sclbk;CS;Train;100
2902;frbdl;CS;Train;26
2903;Cltwn;CS;Train;87
2904;Pgkft;CS;Train;67
2905;Qnnkb;CS;Test;15
2906;grfjn;CS;Train;28
2907;Mlfgf;CS;Train;68
2908;Frdhd;CS;Train;71
2909;mblrn;CS;Train;21
2910;Dhrst;CS;Train;77
2911;ssrgt;CS;Train;76
2912;Ftdkr;CS;Train;84
2913;nwrvt;CS;Train;82
2914;Pntgr;CS;Train;45
2915;Mbrdk;CS;Train;41
2916;txtjr;CS;Train;52
2917;Sdcht;CS;Test;1
2918;Ljmpy;CS;Train;80
2919;sbllx;CS;Train;44
2920;Prdfz;CS;Test;3
2921;rbdnp;CS;Test;7
2922;Rjshn;CS;Train;61
2923;kzhns;CS;Train;48
2924;Jgdnn;CS;Test;1
2925;Jrmtr;CS;Train;85
2926;Ntbll;CS;Train;54
2927;Mrrkg;CS;Train;49
2928;Lhbgr;CS;Test;11
2929;Khhlb;CS;Test;16
2930;Mxtnl;CS;Train;66
2931;wsrnj;CS;Train;62
2932;Ttncm;CS;Train;90
2933;Wcllm;CS;Train;32
2934;Sbntc;CS;Train;30
2935;fxlgq;CS;Train;66
2936;Srnnb;CS;Test;2
2937;Sygvn;CS;Test;14
2938;Trftz;CS;Test;8
2939;Bmytt;CS;Train;62
2940;stwvg;CS;Test;2
2941;scgnj;CS;Train;30
2942;Kmntg;CS;Test;4
2943;ljqst;CS;Train;56
2944;Fmhst;CS;Test;12
2945;Sdldt;CS;Train;97
2946;ryhgn;CS;Train;37
2947;Txddy;CS;Train;57
2948;Mqsms;CS;Train;47
2949;jtmmt;CS;Train;68
2950;lhxgj;CS;Train;28
2951;lrnks;CS;Train;39
2952;glqtt;CS;Test;16
2953;Kfnnt;CS;Train;25
2954;Svrty;CS;Train;37
2955;Htrrl;CS;Test;0
2956;Tcfst;CS;Train;27
2957;Flyck;CS;Train;31
2958;Blvck;CS;Train;56
2959;rllzv;CS;Train;73
2960;hnbsn;CS;Train;69
2961;Fxdjr;CS;Train;55
2962;Wgdfr;CS;Test;7
2963;jrrkn;CS;Train;59
2964;Dbzbk;CS;Train;39
2965;Blptz;CS;Train;33
2966;Kqmmb;CS;Train;47
2967;hnlst;CS;Train;24
2968;rbttv;CS;Train;41
2969;Nrnty;CS;Train;68
2970;Blntt;CS;Test;9
2971;Bgzhg;CS;Train;92
2972;Txmpg;CS;Test;5
2973;Dcvgs;CS;Train;97
2974;qjztt;CS;Train;85
2975;Mkttf;CS;Train;34
2976;Stwll;CS;Test;5
2977;Chzps;CS;Train;35
2978;Wzrtr;CS;Train;45
2979;wlcsr;CS;Train;69
2980;trwnk;CS;Train;88
2981;rbnnt;CS;Train;63
2982;Npttp;CS;Train;90
2983;Mgrxl;CS;Train;49
2984;Grvgn;CS;Train;67
2985;Ldmcr;CS;Train;81
2986;Stprn;CS;Train;28
2987;Gjrng;CS;Train;78
2988;Sllqn;CS;Train;78
2989;slwzy;CS;Test;15
2990;Synlt;CS;Train;48
2991;Mffqm;CS;Train;93
2992;jsndr;CS;Train;93
2993;htlft;CS;Train;56
2994;Xndkm;CS;Train;96
2995;Sdñxr;CS;Train;93
2996;Dvnks;CS;Train;61
2997;lgggm;CS;Train;52
2998;klzng;CS;Train;74
2999;wgllt;CS;Train;33
3000;Hfyrg;CS;Train;78
3001;Drdvn;CS;Train;83
3002;Clrfm;CS;Train;28
3003;Zlqlb;CS;Train;76
3004;Fttgz;CS;Train;88
3005;Bldss;CS;Train;30
3006;Mkchr;CS;Train;50
3007;jcnym;CS;Train;40
3008;hqrnn;CS;Train;45
3009;lfgst;CS;Test;3
3010;dtdnn;CS;Test;15
3011;dpckf;CS;Train;88
3012;Ktmwn;CS;Train;97
3013;zfgcn;CS;Train;100
3014;Lmdys;CS;Test;11
3015;Dstgm;CS;Train;34
3016;phssh;CS;Train;50
3017;lydln;CS;Train;80
3018;fxssf;CS;Train;75
3019;trrvc;CS;Train;37
3020;gyckt;CS;Test;17
3021;brqtt;CS;Train;28
3022;Nvrbn;CS;Train;54
3023;Frmnt;CS;Train;71
3024;Qctjn;CS;Train;73
3025;nptzt;CS;Train;65
3026;Nsdsl;CS;Train;97
3027;myygl;CS;Train;49
3028;lgrfl;CS;Train;91
3029;Lbcht;CS;Train;71
3030;Brvnd;CS;Train;32
3031;swqst;CS;Train;87
3032;Stlmm;CS;Train;25
3033;Kdrkl;CS;Train;51
3034;wltst;CS;Train;31
3035;Krgch;CS;Train;81
3036;Gpbst;CS;Train;30
3037;Zdgxr;CS;Train;45
3038;dysnt;CS;Train;50
3039;Trsst;CS;Train;75
3040;Tdlfj;CS;Train;100
3041;Slngs;CS;Train;62
3042;Rxjtt;CS;Train;45
3043;Rptgn;CS;Test;3
3044;Pffls;CS;Train;70
3045;Gvbqt;CS;Train;32
3046;Tbxtz;CS;Train;80
3047;Tntnn;CS;Test;13
3048;Vbllp;CS;Train;38
3049;Zpdgt;CS;Train;90
3050;Frnpk;CS;Train;27
3051;Zqvfr;CS;Train;21
3052;Pfszl;CS;Train;50
3053;Xntxn;CS;Train;29
3054;Stdmk;CS;Test;8
3055;Ldvsl;CS;Train;52
3056;Fklgt;CS;Train;68
3057;lvhnt;CS;Test;11
3058;hvcsh;CS;Train;29
3059;bqmtx;CS;Train;74
3060;Wjvyr;CS;Train;39
3061;Lggnc;CS;Train;27
3062;wtcht;CS;Train;95
3063;Pzpst;CS;Train;27
3064;bndvn;CS;Train;85
3065;trltn;CS;Train;91
3066;sgnft;CS;Train;52
3067;plhnt;CS;Train;91
3068;Nrtwn;CS;Train;76
3069;lkgrn;CS;Train;25
3070;drvhy;CS;Train;97
3071;zrmtr;CS;Test;0
3072;Wvtwb;CS;Train;57
3073;lxlrq;CS;Train;99
3074;Kzssm;CS;Train;67
3075;kzltp;CS;Train;59
3076;Thfgl;CS;Test;13
3077;rnwst;CS;Test;4
3078;Ldngx;CS;Train;82
3079;kgcht;CS;Train;83
3080;Ssmml;CS;Train;21
3081;kchrt;CS;Train;49
3082;Trbgy;CS;Train;80
3083;Rwttz;CS;Train;85
3084;Nfffc;CS;Train;80
3085;fwttq;CS;Train;46
3086;Ksrrh;CS;Train;66
3087;hbltv;CS;Test;1
3088;vktzv;CS;Train;44
3089;wgldv;CS;Train;23
3090;wdrfb;CS;Train;23
3091;Mstwv;CS;Train;67
3092;Zwfrg;CS;Train;30
3093;Wvllg;CS;Train;30
3094;Tbtkl;CS;Train;75
3095;Hmllk;CS;Train;45
3096;ftqgn;CS;Train;49
3097;Fzcnn;CS;Train;95
3098;Lpnds;CS;Train;74
3099;ldgtn;CS;Train;57
3100;frtch;CS;Train;36
3101;Frjvh;CS;Train;60
3102;Mllnh;CS;Train;52
3103;Bpvst;CS;Train;40
3104;Stchl;CS;Train;50
3105;Dsklr;CS;Train;93
3106;wrtnp;CS;Train;81
3107;Rpmss;CS;Train;43
3108;Rmdfr;CS;Train;52
3109;Krrnp;CS;Train;36
3110;Glphj;CS;Train;82
3111;zwdzt;CS;Train;92
3112;thjtp;CS;Train;21
3113;Lfsbr;CS;Train;48
3114;Dskxc;CS;Train;21
3115;hkltg;CS;Test;12
3116;Dqrpn;CS;Train;95
3117;Pcggy;CS;Train;21
3118;Klpng;CS;Train;98
3119;ltgfl;CS;Test;7
3120;Hpszn;CS;Train;61
3121;Kdsms;CS;Train;29
3122;Tsrtv;CS;Train;44
3123;Sbgst;CS;Train;40
3124;fhllc;CS;Train;40
3125;fhrbn;CS;Test;16
3126;Trtqn;CS;Train;46
3127;Hlbwm;CS;Train;64
3128;wfrrt;CS;Test;17
3129;Kbzlg;CS;Train;23
3130;Trmbr;CS;Train;30
3131;stzkg;CS;Train;78
3132;mprks;CS;Test;5
3133;Jqcks;CS;Train;28
3134;Smngt;CS;Train;73
3135;Msylm;CS;Train;69
3136;Kpnss;CS;Train;86
3137;Lmfrn;CS;Test;18
3138;Jlkqr;CS;Train;22
3139;Ccdps;CS;Train;53
3140;grrst;CS;Test;15
3141;Knxll;CS;Train;71
3142;Zlhyn;CS;Train;36
3143;Dllty;CS;Test;16
3144;Nchtg;CS;Train;86
3145;Pscfr;CS;Train;47
3146;Tjngf;CS;Train;46
3147;cpklb;CS;Train;23
3148;rfxsb;CS;Train;96
3149;Rmshn;CS;Train;97
3150;Kznnq;CS;Train;43
3151;Zlzbt;CS;Train;79
3152;stngx;CS;Test;6
3153;wrrgt;CS;Train;53
3154;Lntqr;CS;Test;14
3155;Wflly;CS;Test;20
3156;Ststt;CS;Train;23
3157;Rsdxr;CS;Test;20
3158;qjwsp;CS;Train;89
3159;Jfcyb;CS;Train;98
3160;Hpfnl;CS;Test;20
3161;Thrgn;CS;Train;53
3162;Shnfw;CS;Test;16
3163;krchb;CS;Train;22
3164;Mttrj;CS;Train;89
3165;Dpmmg;CS;Train;96
3166;Bzxkr;CS;Train;74
3167;Hgbby;CS;Train;35
3168;mpjss;CS;Test;9
3169;Kztdr;CS;Train;57
3170;Tmsrb;CS;Train;29
3171;mwlst;CS;Train;22
3172;Knpsn;CS;Test;6
3173;mngbt;CS;Train;92
3174;tfnzz;CS;Train;72
3175;txylt;CS;Test;20
3176;Xltpr;CS;Test;8
3177;Ssfcn;CS;Train;66
3178;Nrdrn;CS;Train;28
3179;Jysff;CS;Train;31
3180;Wmsty;CS;Train;52
3181;Rkntm;CS;Train;67
3182;Nqtyn;CS;Train;59
3183;Lsggt;CS;Train;39
3184;Fdngt;CS;Train;73
3185;Bcgzn;CS;Train;57
3186;Zprgv;CS;Train;82
3187;wcchs;CS;Train;37
3188;hynzb;CS;Train;40
3189;whgst;CS;Train;100
3190;Mxlrz;CS;Train;38
3191;Nqppr;CS;Train;88
3192;Hwrdn;CS;Train;82
3193;Wrwck;CS;Train;58
3194;stmhl;CS;Train;85
3195;Sprdr;CS;Train;29
3196;Spjrl;CS;Train;34
3197;Swtvn;CS;Train;53
3198;Mslmr;CS;Test;5
3199;Dnfvs;CS;Train;27
3200;Cldnd;CS;Train;39
3201;lhdtx;CS;Test;1
3202;plktt;CS;Train;51
3203;Drtgk;CS;Train;67
3204;Wblky;CS;Train;92
3205;szhst;CS;Train;45
3206;Myttb;CS;Train;52
3207;Grckt;CS;Train;46
3208;drjht;CS;Train;48
3209;Dpnzn;CS;Train;76
3210;wrbhp;CS;Train;82
3211;wjrmg;CS;Train;57
3212;Sttrs;CS;Test;4
3213;flhch;CS;Train;54
3214;Drrds;CS;Train;41
3215;Vxllb;CS;Train;90
3216;Srwth;CS;Test;10
3217;Fsrnz;CS;Train;46
3218;wflch;CS;Train;80
3219;Pyllx;CS;Test;15
3220;hnhgr;CS;Train;42
3221;wcvkr;CS;Train;68
3222;Wjxnj;CS;Train;68
3223;frxmd;CS;Train;93
3224;stwrb;CS;Train;69
3225;Spnck;CS;Train;99
3226;Kwrzf;CS;Train;60
3227;zwqgj;CS;Train;64
3228;Dttsd;CS;Train;57
3229;lnkrm;CS;Train;82
3230;gttjm;CS;Train;40
3231;Drscs;CS;Train;64
3232;mjnfs;CS;Train;24
3233;Jvkyb;CS;Train;99
3234;Hkngg;CS;Train;57
3235;Tdntv;CS;Train;93
